TORCHFORT::WANDB: model: critic_0, step: 45, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 45, train_loss: 0.517232
TORCHFORT::WANDB: model: actor, step: 45, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 45, train_loss: -2.52918
TORCHFORT::WANDB: model: alpha, step: 45, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 46, train_loss: 0.0890207
TORCHFORT::WANDB: model: critic_0, step: 46, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 46, train_loss: 0.516081
TORCHFORT::WANDB: model: actor, step: 46, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 46, train_loss: -2.54276
TORCHFORT::WANDB: model: alpha, step: 46, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 47, train_loss: 0.0924481
TORCHFORT::WANDB: model: critic_0, step: 47, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 47, train_loss: 0.526595
TORCHFORT::WANDB: model: actor, step: 47, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 47, train_loss: -2.54758
TORCHFORT::WANDB: model: alpha, step: 47, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 48, train_loss: 0.0898711
TORCHFORT::WANDB: model: critic_0, step: 48, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 48, train_loss: 0.5369
TORCHFORT::WANDB: model: actor, step: 48, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 48, train_loss: -2.54852
TORCHFORT::WANDB: model: alpha, step: 48, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 49, train_loss: 0.0884986
TORCHFORT::WANDB: model: critic_0, step: 49, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 49, train_loss: 0.527128
TORCHFORT::WANDB: model: actor, step: 49, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 49, train_loss: -2.54708
TORCHFORT::WANDB: model: alpha, step: 49, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 50, train_loss: 0.0894546
TORCHFORT::WANDB: model: critic_0, step: 50, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 50, train_loss: 0.518048
TORCHFORT::WANDB: model: actor, step: 50, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 50, train_loss: -2.5493
TORCHFORT::WANDB: model: alpha, step: 50, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 51, train_loss: 0.0851135
TORCHFORT::WANDB: model: critic_0, step: 51, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 51, train_loss: 0.508425
TORCHFORT::WANDB: model: actor, step: 51, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 51, train_loss: -2.55442
TORCHFORT::WANDB: model: alpha, step: 51, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 52, train_loss: 0.0849425
TORCHFORT::WANDB: model: critic_0, step: 52, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 52, train_loss: 0.503641
TORCHFORT::WANDB: model: actor, step: 52, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 52, train_loss: -2.54029
TORCHFORT::WANDB: model: alpha, step: 52, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 53, train_loss: 0.0876783
TORCHFORT::WANDB: model: critic_0, step: 53, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 53, train_loss: 0.514309
TORCHFORT::WANDB: model: actor, step: 53, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 53, train_loss: -2.54397
TORCHFORT::WANDB: model: alpha, step: 53, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 54, train_loss: 0.0786579
TORCHFORT::WANDB: model: critic_0, step: 54, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 54, train_loss: 0.514665
TORCHFORT::WANDB: model: actor, step: 54, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 54, train_loss: -2.54337
TORCHFORT::WANDB: model: alpha, step: 54, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 55, train_loss: 0.0829099
TORCHFORT::WANDB: model: critic_0, step: 55, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 55, train_loss: 0.517612
TORCHFORT::WANDB: model: actor, step: 55, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 55, train_loss: -2.55043
TORCHFORT::WANDB: model: alpha, step: 55, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 56, train_loss: 0.0835694
TORCHFORT::WANDB: model: critic_0, step: 56, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 56, train_loss: 0.508402
TORCHFORT::WANDB: model: actor, step: 56, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 56, train_loss: -2.56023
TORCHFORT::WANDB: model: alpha, step: 56, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 57, train_loss: 0.089868
TORCHFORT::WANDB: model: critic_0, step: 57, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 57, train_loss: 0.514944
TORCHFORT::WANDB: model: actor, step: 57, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 57, train_loss: -2.5678
TORCHFORT::WANDB: model: alpha, step: 57, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 58, train_loss: 0.0843621
TORCHFORT::WANDB: model: critic_0, step: 58, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 58, train_loss: 0.494948
TORCHFORT::WANDB: model: actor, step: 58, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 58, train_loss: -2.55418
TORCHFORT::WANDB: model: alpha, step: 58, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 59, train_loss: 0.0843812
TORCHFORT::WANDB: model: critic_0, step: 59, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 59, train_loss: 0.491038
